"","gender","passed","mathgrd","CAO_choice","address","lc_points","lc_points"
"283",1,0,"20-30","2","3",285,285
"131",1,0,"20-30","2","1",280,280
"160",1,1,"20-30","2","3",330,330
"444",1,0,"20-30","4","2",245,245
"247",1,0,"20-30","2","3",225,225
"500",1,1,"80+","1","3",485,485
"272",1,1,"20-30","2","1",305,305
"286",1,0,">20","1","2",85,85
"11",1,0,"50-60","1","1",320,320
"100",1,1,"50-60","1","3",410,410
"137",1,0,">20","1","2",310,310
"108",1,1,"50-60","1","2",405,405
"561",1,1,"80+","4","3",405,405
"543",1,1,"65-75","3","3",385,385
"143",1,0,"20-30","2","1",280,280
"270",1,1,"35-45","4","3",270,270
"194",1,1,"20-30","1","3",410,410
"255",1,0,">20","4","1",190,190
"77",1,0,"35-45","2","2",375,375
"393",1,1,"20-30","1","2",215,215
"237",1,0,"35-45","1","1",300,300
"516",1,1,"65-75","4","1",430,430
"573",1,1,"35-45","1","3",350,350
"375",1,1,"50-60","2","2",250,250
"227",1,1,"50-60","1","3",365,365
"233",1,0,">20","3","1",170,170
"189",1,1,"35-45","3","2",320,320
"88",1,1,"65-75","1","3",400,400
"480",1,0,"65-75","1","3",395,395
"545",1,1,"50-60","2","2",390,390
"83",1,1,">20","1","1",355,355
"372",1,1,"20-30","2","1",250,250
"304",1,1,">20","1","3",240,240
"481",1,0,"50-60","3","2",355,355
"547",1,1,"80+","1","2",460,460
"93",1,1,"35-45","1","2",385,385
"232",1,0,"20-30","2","1",280,280
"245",1,0,"20-30","1","2",250,250
"419",1,1,"35-45","2","1",315,315
"391",1,1,"35-45","1","2",315,315
"292",1,0,">20","1","1",240,240
"567",1,1,"50-60","3","1",350,350
"59",1,1,">20","4","3",330,330
"204",1,1,"50-60","1","1",355,355
"442",1,0,"20-30","2","2",315,315
"261",1,1,"20-30","4","1",325,325
"16",1,1,"50-60","1","2",355,355
"33",1,1,"35-45","1","2",380,380
"511",1,1,"80+","1","1",540,540
"113",1,1,"35-45","1","2",425,425
"54",1,1,"50-60","1","3",315,315
"447",1,0,"20-30","2","2",265,265
"19",1,1,"50-60","1","1",385,385
"271",1,1,"35-45","2","1",280,280
"491",1,0,"","#NULL!","1",NA,NA
"440",1,0,"50-60","1","2",325,325
"369",1,1,">20","1","2",175,175
"571",1,1,"50-60","1","3",435,435
"532",1,1,"50-60","4","3",390,390
"293",1,1,"20-30","1","2",260,260
"449",1,0,"20-30","2","2",295,295
"190",1,1,"65-75","3","2",320,320
"167",1,0,"50-60","1","2",440,440
"488",1,0,"65-75","1","1",355,355
"471",1,1,"35-45","2","1",310,310
"169",1,0,"50-60","1","3",310,310
"152",1,1,"20-30","4","2",275,275
"206",1,1,"35-45","1","1",325,325
"63",1,1,">20","3","2",290,290
"441",1,0,"","1","3",NA,NA
"577",1,1,"50-60","3","2",365,365
"427",1,1,"35-45","1","2",365,365
"47",1,0,"35-45","2","1",220,220
"597",1,0,"65-75","1","3",395,395
"463",1,1,"50-60","1","2",245,245
"585",1,0,"65-75","2","3",375,375
"284",1,0,"20-30","2","2",265,265
"486",1,0,"50-60","1","2",385,385
"164",1,1,"50-60","1","1",350,350
"76",1,0,"65-75","2","1",315,315
"180",1,1,"50-60","1","3",390,390
"135",1,0,">20","1","3",280,280
"138",1,0,"20-30","3","2",310,310
"324",1,0,"35-45","4","2",250,250
"317",1,1,"20-30","1","3",270,270
"318",1,1,"20-30","1","2",260,260
"197",1,1,"35-45","1","1",345,345
"214",1,1,"35-45","1","2",395,395
"39",1,1,"50-60","1","2",370,370
"538",1,1,"80+","1","2",495,495
"472",1,0,"65-75","1","1",395,395
"260",1,1,"35-45","1","2",290,290
"320",1,0,"35-45","1","1",205,205
"51",1,0,"20-30","3","2",140,140
"478",1,0,"65-75","1","3",470,470
