"id","gender","overall6","address2","lcpoints","lcmaths","mathlev1","lcphysic","havephy","lcchem","havechem","lcappmth","haveappm","lcenr","haveenr","lcpch","havepch","lctdr","havetdr","caochc2","core1","core2","core3","award"
55,1,1,2,85,10,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,"appmath","elec","trans",1
56,0,1,1,280,35,1,NA,0,NA,0,NA,0,40,1,NA,0,NA,0,1,"appmath","elec","trans",1
57,0,1,1,315,35,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,"appmath","elec","trans",1
58,1,1,2,130,5,1,NA,0,NA,0,NA,0,50,1,NA,0,35,1,1,"appmath","elec","trans",1
59,1,1,3,330,15,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,4,"appmath","elec","trans",1
60,1,1,2,235,30,1,NA,0,NA,0,NA,0,70,1,NA,0,NA,0,1,"appmath","elec","trans",1
61,1,1,3,220,35,1,20,1,NA,0,NA,0,75,1,NA,0,NA,0,2,"appmath","elec","trans",1
62,1,1,2,310,40,1,NA,0,NA,0,NA,0,80,1,NA,0,55,1,1,"appmath","elec","trans",1
63,1,1,2,290,10,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,3,"appmath","elec","trans",1
64,0,1,1,245,25,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,"appmath","elec","trans",1
65,1,1,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"appmath","elec","trans",2
66,1,0,2,370,35,1,NA,0,NA,0,NA,0,NA,0,NA,0,60,1,1,"maths","mech","engsci",1
67,1,0,3,415,50,1,NA,0,NA,0,NA,0,NA,0,NA,0,80,1,1,"maths","mech","engsci",1
68,1,0,1,400,85,2,55,1,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
69,1,0,3,350,50,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
70,1,0,1,375,70,2,45,1,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
71,1,0,3,355,60,2,40,1,NA,0,45,1,NA,0,NA,0,NA,0,2,"maths","mech","engsci",1
72,1,0,3,400,50,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
73,1,0,2,380,45,1,NA,0,NA,0,NA,0,NA,0,NA,0,75,1,1,"maths","mech","engsci",1
74,1,0,2,385,35,1,55,1,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
75,1,0,2,385,50,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
76,1,0,1,315,65,2,NA,0,NA,0,NA,0,NA,0,NA,0,50,1,2,"maths","mech","engsci",1
77,1,0,2,375,40,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,2,"maths","mech","engsci",1
78,0,0,3,440,60,1,NA,0,NA,0,NA,0,NA,0,NA,0,75,1,1,"maths","mech","engsci",1
79,1,0,2,215,10,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,3,"maths","mech","engsci",1
80,1,0,2,300,40,1,25,1,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
81,1,0,1,450,55,2,70,1,NA,0,NA,0,NA,0,NA,0,NA,0,2,"maths","mech","engsci",1
82,1,1,2,355,60,1,45,1,NA,0,NA,0,NA,0,NA,0,75,1,2,"maths","mech","engsci",1
83,1,1,1,355,0,2,70,1,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
84,1,1,3,410,55,2,NA,0,60,1,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
85,1,1,2,415,65,2,45,1,NA,0,60,1,NA,0,NA,0,90,1,1,"maths","mech","engsci",1
86,1,1,2,375,60,1,50,1,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
87,1,1,1,350,45,1,NA,0,NA,0,NA,0,NA,0,NA,0,70,1,1,"maths","mech","engsci",1
88,1,1,3,400,75,2,60,1,NA,0,NA,0,NA,0,NA,0,80,1,1,"maths","mech","engsci",1
89,1,1,2,395,55,2,75,1,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
90,1,1,3,365,60,1,NA,0,NA,0,NA,0,NA,0,55,1,NA,0,1,"maths","mech","engsci",1
91,1,1,2,475,50,2,NA,0,NA,0,NA,0,NA,0,NA,0,100,1,1,"maths","mech","engsci",1
92,1,1,2,425,80,2,75,1,60,1,60,1,NA,0,NA,0,75,1,1,"maths","mech","engsci",1
93,1,1,2,385,45,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
94,1,1,3,375,50,1,45,1,NA,0,NA,0,NA,0,NA,0,75,1,2,"maths","mech","engsci",1
95,1,1,2,280,35,1,35,1,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
96,1,1,3,355,45,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,"maths","mech","engsci",1
